userName,taskNumber,focus,ExperimentState,elapsedTime,headsetX,headsetY,headsetZ,distance,taskID,currentSliver.transform.position.x,currentSliver.transform.position.y,currentSliver.transform.position.z,currentTarget.transform.position.x,currentTarget.transform.position.y,currentTarget.transform.position.z,objectXLength,objectYLength,objectZLength,currentObjectRotationX,currentObjectRotationY,currentObjectRotationZ,targetRotationX,targetRotationY,targetRotationZ,currentObjectRotationXInspector,currentObjectRotationYInspector,currentObjectRotationZInspector,targetRotationXInspector,targetRotationYInspector,targetRotationZInspector,angle,mouseX,mouseY,button,side,status
anditest,1,Speed,Complexity,2.212205,-32.45,1.39,-4.16,2.090341,1,-0.3399995,0.6299998,-2.083341,-0.34,0.63,0.007,0.9388822,0.9388822,0.9388822,8.537733E-07,-4.268866E-07,4.268866E-06,350.9471,359.2726,9.168056,0,0,0,-9.053,-0.7270001,9.168,12.85711,1651.819,458.4344,mouse,left,down
anditest,1,Speed,Complexity,2.322376,-32.45,1.39,-4.16,2.090341,1,-0.3399995,0.6299998,-2.083341,-0.34,0.63,0.007,0.9388822,0.9388822,0.9388822,8.537733E-07,-4.268866E-07,4.268866E-06,350.9471,359.2726,9.168056,0,0,0,-9.053,-0.7270001,9.168,12.85711,1651.819,458.4344,,,
anditest,1,Speed,Complexity,2.322376,-32.45,1.39,-4.16,2.090341,1,-0.3399995,0.6299998,-2.083341,-0.34,0.63,0.007,0.9388822,0.9388822,0.9388822,8.537733E-07,-4.268866E-07,4.268866E-06,350.9471,359.2726,9.168056,0,0,0,-9.053,-0.7270001,9.168,12.85711,1651.819,458.4344,next,,pressed
anditest,2,Accuracy,Complexity,2.527982,-32.45,1.39,-4.16,2.692643,2,-0.3399998,0.6299999,-2.685643,-0.34,0.63,0.007,0.8857379,0.8857379,0.8857379,-2.561319E-06,-2.56132E-06,9.391504E-06,342.1334,357.0179,18.80498,0,0,0,-17.867,-2.982,18.805,25.71429,1651.819,458.4344,,,
anditest,2,Accuracy,Complexity,2.543312,-32.45,1.39,-4.16,2.692643,2,-0.3399998,0.6299999,-2.685643,-0.34,0.63,0.007,0.8857379,0.8857379,0.8857379,-2.561319E-06,-2.56132E-06,9.391504E-06,342.1334,357.0179,18.80498,0,0,0,-17.867,-2.982,18.805,25.71429,1651.819,458.4344,mouse,left,down
anditest,2,Accuracy,Complexity,2.630428,-32.45,1.39,-4.16,2.692643,2,-0.3399998,0.6299999,-2.685643,-0.34,0.63,0.007,0.8857379,0.8857379,0.8857379,-2.561319E-06,-2.56132E-06,9.391504E-06,342.1334,357.0179,18.80498,0,0,0,-17.867,-2.982,18.805,25.71429,1651.819,458.4344,next,,pressed
anditest,3,SpeedShort,Complexity,2.640135,-32.45,1.39,-4.16,3.294945,3,-0.34,0.63,-3.287945,-0.34,0.63,0.007,0.8325936,0.8325936,0.8325936,0,0,0,333.8403,353.0194,29.41861,0,0,0,-26.16,-6.981,29.419,38.57142,1651.819,458.4344,,,
anditest,3,SpeedShort,Complexity,2.701592,-32.45,1.39,-4.16,3.294944,3,-0.3399997,0.6299997,-3.287944,-0.34,0.63,0.007,0.8325936,0.8325936,0.8325936,8.537734E-07,-4.268867E-07,2.56132E-06,333.8403,353.0194,29.41861,0,0,0,-26.16,-6.981,29.419,38.57142,1651.819,458.4344,mouse,left,down
anditest,3,SpeedShort,Complexity,2.747452,-32.45,1.39,-4.16,3.294944,3,-0.3399997,0.6299997,-3.287944,-0.34,0.63,0.007,0.8325936,0.8325936,0.8325936,8.537734E-07,-4.268867E-07,2.56132E-06,333.8403,353.0194,29.41861,0,0,0,-26.16,-6.981,29.419,38.57142,1651.819,458.4344,,,
anditest,3,SpeedShort,Complexity,2.788585,-32.45,1.39,-4.16,3.294944,3,-0.3399997,0.6299997,-3.287944,-0.34,0.63,0.007,0.8325936,0.8325936,0.8325936,8.537734E-07,-4.268867E-07,2.56132E-06,333.8403,353.0194,29.41861,0,0,0,-26.16,-6.981,29.419,38.57142,1651.819,458.4344,next,,pressed
anditest,4,AccuracyShort,Complexity,2.859715,-32.45,1.39,-4.16,3.897246,4,-0.3399999,0.6300001,-3.890246,-0.34,0.63,0.007,0.7794493,0.7794493,0.7794493,-2.561321E-06,2.988207E-06,3.415094E-06,326.438,346.9431,41.56289,0,0,0,-33.562,-13.057,41.563,51.42856,1651.819,458.4344,,,
anditest,4,AccuracyShort,Complexity,2.891628,-32.45,1.39,-4.16,3.897246,4,-0.3399999,0.6300001,-3.890246,-0.34,0.63,0.007,0.7794493,0.7794493,0.7794493,-2.561321E-06,2.988207E-06,3.415094E-06,326.438,346.9431,41.56289,0,0,0,-33.562,-13.057,41.563,51.42856,1651.819,458.4344,mouse,left,down
anditest,4,AccuracyShort,Complexity,2.967505,-32.45,1.39,-4.16,3.897246,4,-0.3399999,0.6300001,-3.890246,-0.34,0.63,0.007,0.7794493,0.7794493,0.7794493,-2.561321E-06,2.988207E-06,3.415094E-06,326.438,346.9431,41.56289,0,0,0,-33.562,-13.057,41.563,51.42856,1651.819,458.4344,,,
anditest,4,AccuracyShort,Complexity,2.98246,-32.45,1.39,-4.16,3.897246,4,-0.3399999,0.6300001,-3.890246,-0.34,0.63,0.007,0.7794493,0.7794493,0.7794493,-2.561321E-06,2.988207E-06,3.415094E-06,326.438,346.9431,41.56289,0,0,0,-33.562,-13.057,41.563,51.42856,1651.819,458.4344,next,,pressed
