userName,taskNumber,elapsedTime,headsetX,headsetY,headsetZ,ControllerLeftX,ControllerLeftY,ControllerLeftZ,ControllerRightX,ControllerRightY,ControllerRightZ,distance,taskID,objectName,objectXLength,objectYLength,objectZLength,currentObjectRotationX,currentObjectRotationY,currentObjectRotationZ,targetRotationX,targetRotationY,targetRotationZ,button,side,status
Katie,0,6.558325,-0.8981804,1.557205,0.8252191,-1.159373,1.341509,1.058775,-1.001018,1.360821,1.122123,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,6.672123,-0.9049983,1.560067,0.8222862,-1.145122,1.317975,1.071676,-0.9695609,1.349927,1.123533,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,6.785436,-0.908653,1.562909,0.8222661,-1.129738,1.298777,1.081487,-0.9471842,1.348003,1.121842,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,6.895086,-0.9042336,1.56222,0.8246524,-1.116847,1.296281,1.092768,-0.9274004,1.356781,1.118769,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,7.015835,-0.8989491,1.564441,0.8301122,-1.103825,1.304572,1.108194,-0.9017021,1.365998,1.119068,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,7.127938,-0.8922103,1.564639,0.8467875,-1.083342,1.307824,1.122572,-0.8706122,1.368336,1.117532,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,7.240968,-0.8923585,1.562048,0.8601621,-1.05614,1.302052,1.135234,-0.8403891,1.364418,1.112538,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,7.362793,-0.8991276,1.56489,0.8717705,-1.025887,1.291178,1.158437,-0.8163387,1.363387,1.112685,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,7.474829,-0.908594,1.564956,0.8786334,-1.010041,1.287138,1.179896,-0.7996566,1.365946,1.107053,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,7.599029,-0.919116,1.568607,0.8884406,-0.9965773,1.29289,1.192386,-0.7900047,1.365522,1.09435,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,7.709861,-0.9256799,1.567402,0.8969027,-0.9810284,1.296423,1.19039,-0.7852926,1.359693,1.075081,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,7.821655,-0.9277909,1.564915,0.8992562,-0.9629276,1.292693,1.186498,-0.7804511,1.350049,1.057319,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,7.959249,-0.9267228,1.563244,0.8956023,-0.9291604,1.284384,1.18294,-0.7645608,1.344084,1.034457,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,8.077497,-0.9205903,1.564466,0.8844621,-0.9067274,1.280823,1.178144,-0.7473928,1.348598,1.018514,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,8.190053,-0.9119211,1.569076,0.8816916,-0.8863943,1.278446,1.181253,-0.7324833,1.348689,1.011707,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,8.304296,-0.903854,1.56587,0.8827754,-0.8678582,1.271676,1.178989,-0.7237947,1.338796,0.9990815,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,8.415264,-0.9037607,1.562879,0.8882995,-0.8486652,1.260972,1.178786,-0.7151431,1.32488,0.9885,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,8.536077,-0.9160557,1.563948,0.9023407,-0.8248954,1.255763,1.182683,-0.7104268,1.320179,0.9781251,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,8.647313,-0.9339997,1.562317,0.9219304,-0.8129554,1.252724,1.196541,-0.7216614,1.312674,0.9653943,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
Katie,0,8.759422,-0.9554365,1.567486,0.9433041,-0.8091455,1.255293,1.209197,-0.7337064,1.303282,0.9606259,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
