userName,taskNumber,elapsedTime,headsetX,headsetY,headsetZ,ControllerLeftX,ControllerLeftY,ControllerLeftZ,ControllerRightX,ControllerRightY,ControllerRightZ,distance,taskID,objectName,objectXLength,objectYLength,objectZLength,currentObjectRotationX,currentObjectRotationY,currentObjectRotationZ,targetRotationX,targetRotationY,targetRotationZ,button,side,status
MattH,0,7.048367,-0.4796626,1.683198,0.6556827,-0.3811936,1.407257,1.0511,-0.2405391,1.392181,0.9864417,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
MattH,0,7.177085,-0.4790766,1.683179,0.6561885,-0.3802244,1.405566,1.051039,-0.239605,1.389961,0.9866698,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
MattH,0,7.294462,-0.4768371,1.683234,0.6577495,-0.3792419,1.403221,1.051751,-0.2388595,1.387511,0.9871029,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
MattH,0,7.407055,-0.473807,1.683559,0.6593649,-0.3768111,1.400943,1.052749,-0.2371648,1.385587,0.9878141,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
MattH,0,7.526477,-0.4710882,1.683229,0.6620666,-0.374304,1.398417,1.054041,-0.2354535,1.383551,0.9890369,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
MattH,0,7.641347,-0.4692435,1.682265,0.6653744,-0.3733535,1.395686,1.056058,-0.2353059,1.380368,0.9918796,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
MattH,0,7.753156,-0.4673128,1.680446,0.6681121,-0.3729283,1.393872,1.058021,-0.2368557,1.376835,0.9953541,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
MattH,0,7.86768,-0.46384,1.680388,0.6689197,-0.3700399,1.390974,1.059354,-0.2348322,1.375066,0.9940455,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
MattH,0,7.977269,-0.4615821,1.68185,0.6695307,-0.3667085,1.39109,1.060505,-0.2296279,1.37389,0.9921994,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
MattH,0,8.117146,-0.4607606,1.680956,0.6736804,-0.3638189,1.384539,1.060241,-0.2274341,1.368129,0.9962286,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
MattH,0,8.231835,-0.4620843,1.676916,0.6847093,-0.3589157,1.374758,1.062776,-0.2302866,1.360232,1.002099,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
MattH,0,8.343942,-0.4613059,1.675967,0.6899738,-0.3588395,1.371726,1.065487,-0.2322089,1.357404,1.005625,0.7269744,0,0CuboidTutorial,0.1,0.1,0.1,0,0,0,0,0,0,,,
