name,task,elapsedTime,taskStatus,headset x,headset y,headset z,Controller (left) x,Controller (left) y,Controller (left) z,Controller (right) x,Controller (right) y,Controller (right) z,distance,key
Leonard,task1,64.09904,,-0.7290977,1.606848,1.024387,-0.6602949,1.061,1.264992,-0.5236094,1.43641,1.168549,0,
Leonard,task1,65.11594,,-0.7419674,1.607817,1.04649,-0.6628398,1.05753,1.271979,-0.5028017,1.42904,1.166263,0,
Leonard,task1,66.1319,,-0.7893496,1.607852,1.239149,-0.5353128,1.093894,1.373306,-0.5981888,1.459536,1.16182,0,
Leonard,task1,67.14782,,-0.8052602,1.614661,1.287484,-0.569661,1.065323,1.37534,-0.6014825,1.480134,1.180108,0,
Leonard,task1,68.16417,,-0.7943749,1.610197,1.292183,-0.5635409,1.058806,1.377253,-0.5970012,1.478257,1.181292,0,
Leonard,task1,69.18134,,-0.7868789,1.608778,1.296161,-0.5623742,1.053931,1.37614,-0.5900297,1.477038,1.180852,0,
Leonard,task1,70.1973,,-0.7829773,1.607115,1.303576,-0.5605791,1.049649,1.374703,-0.5919073,1.478522,1.180079,0,
Leonard,task1,71.2148,,-0.7852463,1.607824,1.302921,-0.5610894,1.048963,1.371638,-0.5903407,1.479237,1.180135,0,
Leonard,task1,72.22973,,-0.8105506,1.643308,1.247711,-0.6123798,1.019311,1.332484,-0.5980043,1.476721,1.142708,0,
Leonard,task1,73.24683,,-0.7476581,1.656603,0.882869,-0.5837246,1.054536,1.04722,-0.4872889,1.466003,0.8251813,0,
Leonard,task1,74.2646,,-0.6545973,1.647466,0.6831913,-0.5259525,1.065277,0.8997635,-0.3750018,1.35829,0.7113271,0,
Leonard,task1,75.27996,,-0.7232826,1.644188,0.6254607,-0.6370525,1.062952,0.8419328,-0.3722408,1.367538,0.6585097,0,
Leonard,task1,76.29812,,-0.7463055,1.661546,0.636655,-0.6135283,1.053475,0.8380077,-0.3579137,1.290084,0.5870311,0,
Leonard,task1,77.3133,,-0.6926349,1.650454,0.6350697,-0.5631974,1.051066,0.8442897,-0.3305844,1.326819,0.6605666,0,
Leonard,task1,78.33005,,-0.7093329,1.654188,0.6555023,-0.5716963,1.049337,0.8572938,-0.3269973,1.313137,0.6207466,0,
Leonard,task1,79.3462,,-0.7333153,1.650404,0.6871593,-0.5969545,1.044609,0.8573524,-0.3573537,1.3147,0.6429302,0,
Leonard,task1,80.36745,,-0.7911861,1.653578,0.7286407,-0.6780776,1.021005,0.8506574,-0.4245335,1.295508,0.6464729,0,
Leonard,task1,81.37787,,-0.6886734,1.641959,0.6239205,-0.5852174,1.0328,0.8164547,-0.3575963,1.273977,0.6148656,0,
Leonard,task1,82.39811,,-0.6652541,1.637422,0.6215649,-0.5609683,1.033927,0.8260735,-0.3487193,1.264692,0.6367918,0,
Leonard,task1,83.41119,,-0.7162367,1.636897,0.6421451,-0.5984445,1.032204,0.8334765,-0.3988101,1.273349,0.6308723,0,
Leonard,task1,84.43011,,-0.7167587,1.636058,0.6425631,-0.5984074,1.028865,0.820708,-0.4592538,1.295458,0.7201667,0,
Leonard,task1,85.44596,,-0.7297806,1.638843,0.6584594,-0.6073942,1.026483,0.8386517,-0.4133293,1.291702,0.6831524,0,
Leonard,task1,86.46578,,-0.7766033,1.604663,0.847569,-0.6230726,0.9951291,0.9255683,-0.4363113,1.297681,0.711827,0,
Leonard,task1,87.47659,,-0.7620289,1.643156,0.7117637,-0.6544675,1.01726,0.886555,-0.4349651,1.327313,0.7625805,0,
Leonard,task1,88.49431,,-0.7529038,1.654456,0.6575812,-0.6177273,1.031677,0.8472946,-0.4038501,1.307241,0.6639192,0,
Leonard,task1,89.50993,,-0.7397493,1.651608,0.646755,-0.6014704,1.027337,0.8336799,-0.4128212,1.310354,0.6667678,0,
Leonard,task1,90.52657,,-0.7433294,1.655549,0.6699237,-0.5989051,1.024711,0.8335221,-0.437281,1.322679,0.686029,0,
Leonard,task1,91.54225,,-0.7234055,1.652104,0.6369856,-0.6006721,1.02707,0.8325583,-0.446385,1.316633,0.6852301,0,
Leonard,task1,92.5637,,-0.7028009,1.653444,0.6315259,-0.5792348,1.029833,0.8296748,-0.4198449,1.314087,0.679302,0,
Leonard,task1,93.5754,,-0.6696362,1.653102,0.595279,-0.5659105,1.025304,0.8144408,-0.3798742,1.306034,0.6075101,0,
Leonard,task1,94.59286,,-0.6845745,1.650032,0.5935519,-0.5679682,1.028186,0.8148234,-0.387058,1.300403,0.6137632,0,
Leonard,task1,95.6098,,-0.6915848,1.649972,0.6154702,-0.5864812,1.027111,0.829297,-0.4233205,1.327334,0.7172115,0,
Leonard,task1,96.63053,,-0.6873246,1.648672,0.6237406,-0.5856964,1.021792,0.8288048,-0.4453085,1.312731,0.7197785,0,
Leonard,task1,97.64209,,-0.6841894,1.647968,0.6242924,-0.5822927,1.023224,0.830318,-0.4406027,1.314788,0.7125987,0,
Leonard,task1,98.67683,,-0.5746949,1.604359,0.5069816,-0.5603387,1.034956,0.8336856,-0.4232623,1.259535,0.709976,0,
Leonard,task1,99.68652,,-0.5542346,1.597395,0.4771285,-0.5272994,1.049917,0.8127567,-0.4150861,1.270578,0.698273,0,
Leonard,task1,100.7045,,-0.5351497,1.586564,0.4583164,-0.5142967,1.045207,0.8015633,-0.4008705,1.253171,0.6791084,0,
Leonard,task1,101.7204,,-0.6083975,1.626492,0.5178148,-0.5144216,1.041184,0.7945512,-0.4192101,1.255897,0.6916966,0,
Leonard,task1,102.7397,,-0.6406814,1.621204,0.5243545,-0.5224825,1.028815,0.7752015,-0.4391541,1.260769,0.6815376,0,
Leonard,task1,103.7536,,-0.5943353,1.611775,0.4995496,-0.4936407,1.022546,0.7586709,-0.4290113,1.262333,0.677137,0,
Leonard,task1,104.7712,,-0.5932062,1.615,0.5049892,-0.4832545,1.013161,0.7439211,-0.4053447,1.323858,0.6579022,0,
Leonard,task1,105.7863,,-0.5795748,1.610205,0.5123188,-0.4798737,1.006454,0.7462382,-0.4060206,1.316364,0.6633216,0,
Leonard,task1,106.8021,,-0.579443,1.60849,0.5078611,-0.4841453,1.006197,0.7447917,-0.4116487,1.312115,0.6646536,0,
Leonard,task1,107.8197,,-0.4822001,1.570729,0.4765465,-0.5104123,0.9968754,0.7733765,-0.3937735,1.34197,0.7262812,0,
Leonard,task1,108.8364,,-0.4779518,1.574648,0.4997362,-0.4924363,0.9978262,0.7909498,-0.3999292,1.352055,0.7306376,0,
Leonard,task1,109.8518,,-0.5564761,1.614809,0.5396297,-0.4817104,1.003244,0.7698652,-0.4164591,1.368201,0.7239462,0,
Leonard,task1,110.869,,-0.5794908,1.615377,0.5274623,-0.5069228,1.004053,0.7591963,-0.4121475,1.3513,0.7172106,0,
Leonard,task1,111.885,,-0.4571139,1.56426,0.5148007,-0.52223,1.011609,0.8081382,-0.4102618,1.346704,0.7506644,0,
Leonard,task1,112.9015,,-0.4800512,1.616075,0.5535107,-0.4536324,1.022063,0.7957889,-0.41875,1.419064,0.7739664,0,
Leonard,task1,113.9184,,-0.7220421,1.668358,0.7543129,-0.5853084,1.023172,0.9540356,-0.5348197,1.585782,0.9243097,0,
Leonard,task1,114.9346,,-0.661209,1.653599,0.6828184,-0.5779353,1.039389,0.9575101,-0.5266684,1.585948,1.030807,0,
Leonard,task1,115.9516,,-0.658577,1.651545,0.6863294,-0.573782,1.037715,0.9568993,-0.5262159,1.584373,1.032236,0,
Leonard,task1,116.9684,,-0.6511209,1.650142,0.6942342,-0.5685135,1.032881,0.9591432,-0.5286056,1.58097,1.02867,0,
Leonard,task1,117.9844,,-0.6427844,1.645404,0.6831723,-0.5661899,1.031145,0.954417,-0.528913,1.588922,1.028427,0,
Leonard,task1,119.001,,-0.6350186,1.647829,0.7039959,-0.5591336,1.027024,0.9639779,-0.5203322,1.586954,1.033715,0,
Leonard,task1,120.0178,,-0.6369633,1.647353,0.7059915,-0.5582877,1.02724,0.9627861,-0.5257624,1.587237,1.031458,0,
Leonard,task1,121.0338,,-0.6391585,1.647478,0.7056608,-0.5606328,1.028535,0.9640995,-0.525102,1.586606,1.034442,0,
Leonard,task1,122.0506,,-0.631881,1.645968,0.7106358,-0.5572971,1.025652,0.966758,-0.5155869,1.5825,1.029341,0,
Leonard,task1,123.0652,,-0.6619923,1.6503,0.6712482,-0.5062897,1.020368,0.8903733,-0.1569882,1.473869,0.6675912,0,
Leonard,task1,124.0818,,-0.635124,1.649641,0.6511729,-0.4623573,1.00678,0.8383562,-0.09604135,1.494589,0.5368659,0,
Leonard,task1,125.1029,,-0.665822,1.653152,0.7184272,-0.5124681,1.007442,0.8806913,-0.2358969,1.445915,0.7604004,0,
Leonard,task1,126.1141,,-0.6528666,1.654765,0.7689154,-0.6061074,1.004832,0.9927219,-0.5061654,1.444614,0.9858446,0,
Leonard,task1,127.1317,,-0.6459928,1.654756,0.7512832,-0.5891498,1.004262,0.9702017,-0.4927638,1.420351,0.9568666,0,
Leonard,task1,128.1479,,-0.7083951,1.672031,0.7701359,-0.594969,1.006104,0.9776308,-0.5027579,1.429145,0.9735627,0,
Leonard,task1,129.1651,,-0.7995653,1.680468,0.9444197,-0.5993984,0.9787078,1.025567,-0.5439985,1.435348,0.9523949,0,
Leonard,task1,130.1789,,-0.7710294,1.680535,0.9092062,-0.6180357,0.9825869,1.064986,-0.5650026,1.574021,1.044419,0,
Leonard,task1,131.1965,,-0.7687727,1.682581,0.9242203,-0.6070389,0.9825199,1.067129,-0.5619561,1.579613,1.053282,0,
Leonard,task1,132.2133,,-0.772558,1.680721,0.9291525,-0.6163646,0.9792421,1.074142,-0.5645083,1.581689,1.054254,0,
Leonard,task1,133.2307,,-0.772478,1.679455,0.9302126,-0.6176536,0.9780365,1.073891,-0.5647902,1.580639,1.053701,0,
Leonard,task1,134.2461,,-0.7807611,1.666318,0.8918675,-0.6287046,0.9731319,1.042487,-0.3825729,1.402962,0.8321778,0,
Leonard,task1,135.2629,,-0.8092873,1.662187,0.8742183,-0.6724967,0.9663576,1.021069,-0.4001254,1.37637,0.8282356,0,
Leonard,task1,136.2793,,-0.7737777,1.668707,0.8767344,-0.6287465,0.9734483,1.012238,-0.4297447,1.426364,0.8932658,0,
Leonard,task1,137.2951,,-0.7712561,1.670173,0.8670926,-0.62622,0.9773181,1.014575,-0.4258591,1.399363,0.8657473,0,
Leonard,task1,138.312,,-0.7588714,1.670961,0.8462387,-0.623345,0.9806024,1.006775,-0.4253266,1.388259,0.8534791,0,
Leonard,task1,139.3281,,-0.747738,1.671329,0.8284611,-0.6323941,0.9825443,1.010013,-0.4139114,1.376375,0.8486707,0,
Leonard,task1,140.3437,,-0.7301172,1.677706,0.8529779,-0.6451875,0.982118,1.051683,-0.5399555,1.596593,1.04296,0,
Leonard,task1,141.3611,,-0.7271132,1.679488,0.875397,-0.6305583,0.9950628,1.09419,-0.5447526,1.591104,1.050625,0,
Leonard,task1,142.3778,,-0.7150487,1.67769,0.8670126,-0.6199775,0.9970683,1.090517,-0.5465526,1.590209,1.046135,0,
Leonard,task1,143.3957,,-0.7142774,1.677388,0.8657773,-0.6162728,0.9962043,1.087657,-0.5490049,1.592608,1.04538,0,
Leonard,task1,144.4098,,-0.7151487,1.676561,0.8650125,-0.620353,0.9961956,1.08794,-0.547943,1.59085,1.04404,0,
Leonard,task1,145.4299,,-0.7127407,1.674986,0.8631431,-0.6182954,0.996658,1.086872,-0.5520302,1.590385,1.044998,0,
Leonard,task1,146.4426,,-0.712314,1.67194,0.8515859,-0.6106606,0.9900458,1.078923,-0.3889789,1.497369,0.9478393,0,
Leonard,task1,147.4607,,-0.733117,1.667865,0.8935487,-0.5745243,0.9915199,1.050722,-0.3501737,1.376394,0.8623902,0,
Leonard,task1,148.4759,,-0.7248125,1.66946,0.8906714,-0.5701612,0.9917356,1.051897,-0.383595,1.395172,0.8629465,0,
Leonard,task1,149.4936,,-0.696014,1.673159,0.841967,-0.5765407,0.985948,1.026286,-0.5271457,1.453265,0.9753301,0,
Leonard,task1,150.5109,,-0.6801316,1.67944,0.8328167,-0.5769963,0.9891224,1.038719,-0.4693721,1.450946,0.9893529,0,
Leonard,task1,151.5294,,-0.6905555,1.675139,0.8553219,-0.53174,1.001848,1.063901,-0.4985166,1.471696,0.9963794,0,
Leonard,task1,152.5417,,-0.7015245,1.673117,0.8678655,-0.5499073,0.9958048,1.066987,-0.52817,1.476534,0.9961253,0,
Leonard,task1,153.5588,,-0.6953747,1.675888,0.8568987,-0.555591,0.9979788,1.067943,-0.5377622,1.568829,1.015281,0,
Leonard,task1,154.5762,,-0.6818159,1.673966,0.8601112,-0.5460575,0.9950634,1.07043,-0.5264646,1.560825,1.018696,0,
Leonard,task1,155.5924,,-0.680421,1.672693,0.8601004,-0.545691,0.9946494,1.069132,-0.5285159,1.560428,1.016944,0,
Leonard,task1,156.6086,,-0.6693039,1.666244,0.8322877,-0.5397065,0.989352,1.04472,-0.3035586,1.444961,0.835139,0,
Leonard,task1,157.625,,-0.6726636,1.666091,0.8227023,-0.5473222,0.9868546,1.016893,-0.2815163,1.415737,0.7371108,0,
Leonard,task1,158.6416,,-0.6892344,1.665292,0.8272071,-0.5649843,0.9934275,1.027567,-0.3203986,1.410794,0.79562,0,
Leonard,task1,159.6566,,-0.6705203,1.660827,0.8192939,-0.568788,0.9929885,1.031156,-0.3359766,1.406213,0.8096988,0,
Leonard,task1,160.6749,,-0.6229261,1.653889,0.8124319,-0.6118982,0.9919522,1.068518,-0.5606838,1.559572,1.020923,0,
Leonard,task1,161.6904,,-0.6345419,1.655508,0.8199636,-0.6066934,0.9920359,1.068709,-0.5479337,1.582143,1.03406,0,
Leonard,task1,162.7069,,-0.6417769,1.655836,0.8155819,-0.6119156,0.9920822,1.067985,-0.5571883,1.603671,1.029324,0,
Leonard,task1,163.7238,,-0.6343437,1.654516,0.8166733,-0.6025593,0.9914387,1.065014,-0.555904,1.60283,1.0284,0,
Leonard,task1,164.7393,,-0.6475199,1.657636,0.7909806,-0.5636965,0.9807833,1.018082,-0.2559747,1.325703,0.7639776,0,
Leonard,task1,165.7762,,-0.6508123,1.65669,0.817137,-0.5749302,0.9800258,1.020682,-0.4459694,1.384794,0.9009729,0,
Leonard,task1,166.794,,-0.6428584,1.655849,0.8443934,-0.6051255,0.9863294,1.068352,-0.5474371,1.581416,1.053207,0,
Leonard,task1,167.8179,,-0.6410151,1.655824,0.8473253,-0.6011091,0.9850525,1.067227,-0.5485165,1.585611,1.051657,0,
Leonard,task1,168.8379,,-0.6393563,1.654661,0.8136624,-0.5747768,0.9779107,1.040663,-0.3009204,1.419795,0.8689999,0,
Leonard,task1,169.8467,,-0.648903,1.658298,0.8262444,-0.5988927,0.9787138,1.032606,-0.3477028,1.378358,0.8684233,0,
Leonard,task1,170.8593,,-0.5184394,1.616118,0.7690317,-0.6992247,0.94394,0.9898711,-0.4054499,1.102837,0.8989111,0,
Leonard,task1,171.8854,,-0.6923705,1.653956,0.8143894,-0.5753692,0.9612058,0.9168052,-0.4871389,1.201895,0.8127535,0,
Leonard,task1,172.9172,,-0.6444417,1.655343,0.6248389,-0.5326696,0.9380935,0.8046001,-0.4707614,1.160283,0.6342576,0,
Leonard,task1,173.9355,,-0.3520326,1.64228,0.5828736,-0.2884841,0.933583,0.7551284,0.0443393,1.421683,0.7144307,0,
Leonard,task1,174.9496,,-0.246693,1.657436,0.5534291,-0.1496645,0.9710443,0.7537674,0.05273956,1.378038,0.6334234,0,
Leonard,task1,175.9671,,-0.2748755,1.658819,0.5636338,-0.163427,0.9810371,0.7978763,0.1277283,1.305604,0.5995674,0,
Leonard,task1,176.9835,,-0.2989993,1.660178,0.5952618,-0.1704037,0.9711386,0.8087745,0.1190583,1.388235,0.6028278,0,
Leonard,task1,177.9995,,-0.36167,1.689391,0.5881932,-0.2887607,0.9813871,0.8191126,-0.1540728,1.269533,0.7541279,0,
Leonard,task1,179.0158,,-0.5511175,1.669697,0.4878787,-0.6237606,0.9686661,0.6735258,-0.5574358,1.196336,0.6771271,0,
Leonard,task1,180.0334,,-0.6067482,1.657476,0.470919,-0.768568,0.9418984,0.6339179,-0.6362301,1.119482,0.6680364,0,
Leonard,task1,181.0486,,-0.479743,1.671122,0.5054658,-0.6895738,0.9275422,0.6820672,-0.3000554,1.108057,0.8367487,0,
Leonard,task1,182.0662,,-0.4085562,1.670755,0.5320414,-0.662605,0.9416942,0.6167312,-0.4949133,1.458122,0.9194332,0,
Leonard,task1,183.0819,,-0.5465443,1.679819,0.4870775,-0.7520253,0.9375939,0.6410967,-0.4833203,1.534135,0.9251739,0,
Leonard,task1,184.0988,,-0.5146908,1.66282,0.4851231,-0.6816759,0.9359607,0.6977795,-0.3761137,1.495707,0.5989328,0,
Leonard,task1,185.1154,,-0.5148338,1.642446,0.4854003,-0.6981313,0.9412236,0.6809154,-0.4168665,1.55028,0.5643893,0,
